reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
5b33bbb8-8577-4a50-8e41-722a9af54db6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini sangat membantu cuma dari saya lihat dan amati beberapa mungkin kayak laporan warga kadang kurang dijawab, seharusnya cepat tanggap tapi yang lain bagus kalo bisa cuma kayak masih ada yang kurang, masih bisa ditambahin hal lain tanggung banget dan mungkin map nya bisa di bagusin atau fitur fitur lain, pemaikan hampir 6 bulan",4,2,4.0.22,2026-06-09 17:08:05,Halo Kak Pradana Putra. Terima kasih atas ulasannya. Kami akan terus berusaha untuk memberikan yang terbaik :) #FAN,2026-06-10 09:31:57,4.0.22
28b52e01-674e-4ed7-ad29-6c415cd47524,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Fitur bagus, tampilan juga lumayan ok. Tapi sayang sering ngelag dgn info server sibuk. Buat pemprov DKI kalo cm beli atau nambah server harusnya masalah sepele. Atau program aplikasinya yang kurang canggih?",2,4,4.0.21,2026-06-07 07:01:21,"Hai kak Willy Xplore, mohon maaf atas kendala yang kakak alami, mohon dipastikan sudah update ke versi JAKI yang terbaru. Jika masih mengalami kendala, silahkan menyebutkan kesulitan yang dihadapi melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #FNP",2026-06-08 09:49:22,4.0.21
41e3b0d2-c701-49f8-8bac-c032c390a60d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi bagus, dan sangat membantu utk update tentang Jakarta, bisa cek info layanan dan pelaporan permasalahan. Respon penanganan cukup cepat walau bervariasi tergantung tingkat permasalahannya. Update ulasan (04/01/2024) Pada Fitur Laporan Warga fungsi pencarian berdasarkan key, tgl, terutama Radius Jarak km TIDAK BERFUNGSI, mohon bisa diperbaiki krn belum tentu kita butuh lihat laporan yg berada jauh dari wilayah kita. Tks **(19/06/2026) foto dari galery tdk muncul padahal belum lewat 2 jam",5,51,4.0.22,2026-06-19 18:42:42,"Hi, Kak Mugi adi. Terima kasih atas ulasannya. Kami akan terus berusaha untuk memberikan yang terbaik :) #BR
",2022-09-07 13:21:53,4.0.22
245055e7-0478-466c-a8a6-67ba40ba442c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapa pas buka antrian paskes selalu muter2 sudah pakai jaringan 5G dan Wifi masih saja muter,1,4,4.0.23,2026-07-10 12:18:50,"Hi Kak, mohon maaf atas ketidaknyamanannya, saat ini sedang dilakukan update peningkatan layanan di Aplikasi JAKI untuk meningkatkan pengalaman para pengguna, mohon dapat mengecek secara berkala, Terima kasih telah menggunakan JAKI :) #FF",2026-07-10 19:07:21,4.0.23
8cebfae2-c1f3-4dfc-bbd9-1b78a2972e73,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kapan selesainya mau cek pajak masih dalam perbaikan sistem,4,0,4.0.23,2026-07-17 11:58:21,"Halo Kak Sapto, untuk kendala yang kakak alami, kami membutuhkan informasi tambahan agar dapat dilakukan pengecekan oleh petugas. Kakak dapat menyebutkan kronologis mengenai kendala yang dialami melalui email ke dki@jakarta.go.id. Terima kasih telah menggunakan JAKI, mohon maaf atas ketidaknyamanannya :) #FAN",2026-07-17 14:19:19,4.0.23
9aac59fd-5adc-421f-9612-871028bb5a7a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tolong di perbaiki lagi mau lapor lewat foto kamera blm ada 2 jam tidak ada di pilih foto,1,3,4.0.23,2026-07-01 16:52:25,"Hi Kak, kami memohon maaf atas ketidaknyamanannya, saat ini sedang dilakukan peningkatan layanan di Aplikasi JAKI, mohon dapat mengecek secara berkala, Terima kasih telah menggunakan JAKI :) #MK",2025-09-09 14:40:50,4.0.23
cc399d8d-d52f-4573-aa87-8aa8d49d6c50,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi bagus dan sangat membantu. terima kasih petugas Ciganjur bertindak cepat,5,2,4.0.23,2026-07-03 18:00:15,Hi kak Ade Ismail Siregar. Terima kasih atas ulasannya. Jangan lupa untuk selalu gunakan aplikasi JAKI dalam keseharian kakak ya :) #FNP,2026-07-06 08:55:43,4.0.23
5a35a45e-8997-4493-85fb-790a1617d35c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi pengadu domba. menerima laporan dari orang yang tidak bertanggung jawab kenapa haru di tutup tutupin nama sih pelaporan jadi sih pelapor seenaknya berbuat melaporkan yang tidak sesuai kenyataan. sebaiknya di perbaiki sistem aplikasi nya jadi pelaporan bisa bertanggung jawab atas apa yang di laporkan.jadi nama sih pelaporan wajib di lihatkan untuk mencegah tindakan yang tidak bertanggung jawab. tolong kepada tim terkait aplikasi ini untuk di revisi dan di atur ulang,1,1,4.0.23,2026-07-04 23:28:56,"Halo Kak Satria Putra, untuk kendala yang kakak alami, kami membutuhkan informasi tambahan agar dapat dilakukan pengecekan oleh petugas. Kakak dapat menyebutkan kronologis mengenai kendala yang dialami melalui email ke dki@jakarta.go.id. Terima kasih telah menggunakan JAKI, mohon maaf atas ketidaknyamanannya :) #FNP",2026-07-06 09:05:59,4.0.23
1a0a175e-3a9a-40e8-9f8c-c25908ddf703,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sistem tidak bisa kirim vidio bukti lewat galeri harus langsung lewat aplikasi rekam vidio sangat tidak membantu warga hanya darurat saja gak bisa harus buka aplikasi dalam waktu kepepet kalah sama aplikasi gojek grab lansung di tindak,1,12,4.0.19,2026-05-15 14:51:39,"Hai Kak, kami selalu berusaha menjadikan JAKI lebih baik bagi pengguna kami. Terima kasih atas sarannya, hal ini sangat berarti bagi kami. Jika kakak masih mengalami kendala, silahkan menyebutkan kesulitan yang dihadapi melalui email kami di dki@jakarta.go.id. Jangan lupa untuk selalu gunakan aplikasi JAKI dalam keseharian kakak ya :) #FF",2026-04-20 08:56:36,4.0.19
4006b66e-094e-4760-8e05-543945fbcad7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tidak bisa memberikan laporan selalu error, sudah reinstal, keterangan rechapta terus. ga ada perbaikan diaplikasinya",3,10,4.0.19,2026-05-07 11:52:26,"Hai, Kak. Mohon maaf atas kendala yang dialami. Jika masih mengalami kendala, kakak bisa kirim laporan permasalahan melalui email kami di dki@jakarta.go.id. Jangan lupa selalu gunakan JAKI dalam aktivitas keseharian kakak ya! :) #KF",2025-07-03 09:05:12,4.0.19
